County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/19/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,58,116,24,,,15,29,6,58,116,24,,15,29,6,13,25,5,0,0,1,0,0,0,0,,,,,,0,269,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,25,5,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/18/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,57,113,24,,,14,28,6,57,113,24,,14,28,6,13,25,5,0,0,1,0,0,0,0,,,,,,0,268,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,25,5,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/17/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,56,111,24,,,14,28,6,56,111,24,,14,28,6,12,24,5,0,0,1,0,0,0,0,,,,,,0,267,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,12,24,5,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,7/23/2020,,49,,0.00,0.00,1529.946920300,1937,3187.142857143,1686,2891.571428571,216428,251,295.571428571,17388,233816,70570,30783,252,453,,230,3374,2967,17426,155,,,,224,56,,,,224,224,224,,56,56,56,49,49,49,0,1,1,17426,172,155,8,,0.190576490,0.015311069,0.205887559,9.27%,0,150,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,,,,49
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,8/10/2020,,49,,0.00,0.00,1529.946920300,1848,2305.428571429,1724,2113,248002,124,192.428571429,20765,268767,70570,30783,252,453,,230,3374,2967,20810,197,,,,189,48,,,,189,189,189,,48,48,48,41,41,41,0,1,1,20810,182,197,7,,0.218379094,0.018284699,0.236663793,8.35%,0,168,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,,,,41
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,8/4/2020,,49,,0.00,0.00,1529.946920300,2251,2060.285714286,2072,1853.285714286,237003,179,207,19744,256747,70570,30783,252,453,,230,3374,2967,19796,186,,,,207,52,,,,207,207,207,,52,52,52,45,45,45,0,1,1,19796,173,186,6,,0.208693883,0.017385653,0.226079537,10.05%,0,162,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,,,,45
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,7/10/2020,,49,,0.00,0.00,1529.946920300,3602,2811.285714286,3170,2499.857142857,182868,432,311.428571429,14034,196902,70570,30783,252,453,,230,3374,2967,14148,130,,,,172,43,,,,172,172,172,,43,43,43,37,37,37,0,1,1,14148,385,130,6,,0.161025105,0.012357692,0.173382797,11.08%,0,137,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,,,,37
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,5/19/2020,,49,,0.00,0.00,1529.946920300,1756,1820.857142857,1684,1737.428571429,90624,72,83.428571429,4013,94637,70570,30783,252,453,,230,3374,2967,4019,62,,,,114,29,,,,114,114,114,,29,29,29,25,25,25,0,1,1,4019,77,62,6,,0.079799304,0.003533662,0.083332966,4.58%,0,85,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,,,,25
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,6/12/2020,,49,,0.00,0.00,1529.946920300,2098,1937.857142857,1932,1767.857142857,124854,166,170,6913,131767,70570,30783,252,453,,230,3374,2967,6966,93,,,,105,27,,,,105,105,105,,27,27,27,23,23,23,0,1,1,6966,183,93,6,,0.109940659,0.006087268,0.116027928,8.77%,0,109,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,,,,23
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,4/8/2020,,49,,0.00,0.00,1529.946920300,687,965.857142857,636,911.428571429,15993,51,54.428571429,861,16854,70570,30783,252,453,,230,3374,2967,868,7,,,,46,12,,,,46,46,46,,12,12,12,10,10,10,0,1,1,868,61,7,6,,0.014082696,0.000758157,0.014840853,5.64%,0,44,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,,,,10
