state,state full,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,h2,Hiding_init2,reopen2,metric1,metric2,r1,r2
hp,Himachal Pradesh,13.150064281671494,0.3,0.10012588339787552,0.16871133948937514,0.15369435651519958,0.2,0.25104192587413315,0.008827070950128867,0.01700508529468563,0.02894835750443792,0.8400000000000001,0.0,0.0011893584386786858,0.03333333333333333,1.2694362352515758,2021-03-21,0.03333333333333333,1.6752033023607196,2021-06-29,0.015768661558674683,0.0232967178405655,0.9990567581275244,0.9968341027730754
mp,Madhya Pradesh,11.130971538957413,0.2267037751204758,0.8976038989815417,0.045356624446845815,0.07523725747688884,0.1572661310250912,0.3935184479751616,0.00948205210800318,0.14950875070550604,0.0341282756507019,0.8600000000000001,7.475382095800441e-05,0.0009277764218519381,0.03333333333333333,2.0480501465548446,2021-03-22,0.07142857142857142,0.23408658638518234,2021-06-29,0.010775007854944127,0.10810725301346986,0.9991007098048212,0.9095731040164488
br,Bihar,15.002370455080467,0.2315169748107199,0.9,0.040359354613356886,0.19969372223113996,0.18537329298077093,0.01,0.0022378026318246205,0.16296020946172635,0.006558475987206438,0.8600000000000001,0.0,0.15640800427742504,0.07142857142857142,10.0,2021-03-15,0.0370370367904325,3.165533170338551,2021-06-24,0.009105277399358534,0.15085580647898733,0.9995313010267872,0.9340064932603797
mn,Manipur,1.6189157208759724,0.2192931142838176,0.6717157813551413,0.1960630205692739,0.19988516831830172,0.07793697164916273,0.4999824723703988,0.02476004185710473,0.037025208665969804,0.025326855510341903,0.9500000000000002,0.002951684027542973,0.004866348288967418,0.07142856417237221,9.999999699262194,2021-03-15,0.06695888365360964,5.7346010547481265,2021-06-21,0.015137379494113729,0.08364006176998455,0.9979686185585164,0.9286082640165452
mz,Mizoram,1.5815060550376867,0.200000813234536,0.6093260889800509,0.041666575436996936,0.19917507364339898,0.04,0.01992669775708294,0.0018669178969323078,0.058414752774089314,0.01788232241552307,0.9500000000000002,0.0,0.01936090989394964,0.07139818989003183,9.999939132074447,2021-03-16,0.07142857142857142,10.0,2021-06-29,0.10587944433082452,0.12996962291514425,0.9503578160933824,0.8502844106691722
ga,Goa,2.2160354847804062,0.26711567912230233,0.6252665509726587,0.05748719851485395,0.17019001948023185,0.19997531007321315,0.3895333301472537,0.033512050621691915,0.02194481282783149,0.12711940391283374,0.8400000000000001,0.0040557277809580095,0.0,0.03333333333333333,2.067669394761528,2021-03-22,0.07142857142857142,1.131951901438334,2021-06-18,0.009200413759990514,0.018393946782530986,0.9994505329857969,0.9981346947068792
an,Andaman and Nicobar,4.030764698046502,0.29653172844833164,0.8760243775342689,0.0400085403900592,0.04,0.1063317771494032,0.05224160822876594,0.00556454262297694,0.11804576460071928,0.029467999461566318,0.9900000000000002,0.0062037308711204615,0.0,0.03503303649778304,9.169797335804011,2021-03-16,0.06802140982950852,0.0,2021-06-18,0.011637738419730427,0.13235994950061553,0.994609863918984,0.6119736553363639
as,Assam,5.15177239054244,0.20100293972655775,0.8563835301856588,0.16367659851754424,0.1837462869234637,0.04000000676853691,0.4282878039259953,0.012341507593537523,0.05764337307553179,0.00807593314245517,0.8500000000000001,0.004795556253933088,0.006402290063668148,0.03997373110730956,9.999997046349993,2021-03-17,0.0644371744738709,2.3071971451369637,2021-06-18,0.009869227284628452,0.025009763627393888,0.9988581332995232,0.9962194784465492
jh,Jharkhand,12.870225075809474,0.21142363679229156,0.8936990584828431,0.2,0.19999822951757446,0.1999870937148079,0.4653117330910097,0.017795935111203642,0.04135156297454401,0.027737641041546128,0.8300000000000001,0.0014092868922273287,0.0,0.03333333333333333,2.418079999503956,2021-03-20,0.03694799897143192,1.0422543962260702,2021-06-18,0.006276753112499558,0.024882136585335248,0.9997923103918236,0.9972336254177572
ar,Arunachal Pradesh,3.925127103527864,0.2000729102545354,0.6396748365842754,0.19823831926120086,0.2,0.041587107835727284,0.49984710456498294,0.006520982858552496,0.19290785586327486,0.016392455080598087,0.9500000000000002,0.00029800844447775625,0.00034889306328330874,0.07059169351262139,7.056554775543928,2021-03-16,0.06311633512718189,3.5051019161618155,2021-06-19,0.00783582485726258,0.042329911194528835,0.9994632872748538,0.9899562506190988
tr,Tripura,3.2253852961038483,0.2325310937549764,0.8746842227927071,0.04035901244020594,0.1289881088898276,0.09527953984148392,0.1912812535549903,0.009537417462734326,0.11422780797523205,0.01233742790674007,0.8200000000000001,0.013461559004246329,1.803175447827572e-05,0.060253163338451876,9.999100674302511,2021-03-15,0.06354859747979237,4.411489257629351,2021-06-19,0.013756555321427298,0.05114041026599324,0.9976473824770336,0.9434932449825392
nl,Nagaland,4.734963414557376,0.2,0.8710729505920023,0.04,0.14687721655123345,0.19560552178114773,0.1418320630454977,0.03234446811816016,0.06643005179488211,0.01920614311718772,0.9600000000000002,0.01506760682157358,0.0,0.042710839435558895,9.999959821237411,2021-03-16,0.055789720900048426,6.3624018428600095,2021-06-18,0.010720316472735587,0.08490007685932778,0.9985159150954224,0.9473142762709902
ml,Meghalaya,2.279505734315985,0.3,0.8805320708858885,0.2,0.2,0.19814207773582795,0.4806830085315544,0.023536869161988255,0.18112987547980267,0.07733707805396144,0.8400000000000001,0.002826372651355812,0.0,0.047627136608809434,2.3863708000805093,2021-03-20,0.06143918363182543,2.2042968981916067,2021-06-18,0.03630402536631469,0.057525483727650435,0.9919931752864536,0.9810286468970156
sk,Sikkim,1.2230258232693192,0.20000560537237586,0.6542793339353827,0.2,0.2,0.04,0.5,0.014900260378601975,0.10579259805265123,0.029533245790807686,0.9500000000000002,0.0046741386039178935,0.00856627136312589,0.07142857142857142,9.998699941188251,2021-03-19,0.07142857142857142,2.815564049779495,2021-07-06,0.03757786575309699,0.12193074512295378,0.99064734876041,0.7674702475521838
dn_dd,Daman and Diu,24.204963540879174,0.2012086250464741,0.5440864308430036,0.04,0.2,0.0522389960810063,0.5,0.001,0.12170219942680333,0.002910998239377543,0.81,0.0,0.07676806413513201,0.07142857142857142,9.99998259683285,2021-03-15,0.07142857142857142,0.22679445727085545,2021-07-06,0.01855034326128416,0.1314588978379143,0.9978434395418734,0.7425924913711411
ld,Ladakh,1.0857869248980383,0.2995270813617999,0.36299080468489214,0.058721087314437814,0.06287499177012283,0.2,0.0797302492776479,0.0012123668996919493,0.16887218509702165,0.13639688669875838,0.9300000000000002,0.004014493340701168,0.0,0.03574920127740737,1.7362674821447932,2021-03-16,0.051662942333718466,0.0,2021-06-18,0.12833459687628435,0.498850576059641,0.9617396758335398,0.6088114119525649
