State - County,beta,gamma,gamma2,a2
NC-Mecklenburg,"9.014, (6.259, 70.235)","0.04, (0.04, 0.2)","0.04, (0.04, 0.197)","0.011, (0.01, 0.041)"
NC-Wake,"20.296, (5.127, 39.36)","0.19, (0.04, 0.2)","0.04, (0.04, 0.164)","0.01, (0.01, 0.031)"
OH-Cuyahoga,"8.495, (7.147, 56.042)","0.04, (0.04, 0.116)","0.05, (0.04, 0.157)","0.013, (0.01, 0.017)"
OH-Franklin,"9.131, (4.843, 23.98)","0.11, (0.04, 0.137)","0.2, (0.04, 0.2)","0.01, (0.01, 0.04)"
OK-Oklahoma,"17.829, (6.42, 77.056)","0.048, (0.04, 0.076)","0.04, (0.04, 0.086)","0.017, (0.01, 0.055)"
OK-Tulsa,"8.03, (5.381, 89.443)","0.04, (0.04, 0.2)","0.04, (0.04, 0.186)","0.069, (0.01, 0.081)"
PA-Berks,"13.37, (7.676, 16.275)","0.042, (0.04, 0.055)","0.043, (0.04, 0.057)","0.073, (0.04, 0.108)"
PA-Bucks,"6.839, (6.676, 16.236)","0.04, (0.04, 0.059)","0.054, (0.04, 0.059)","0.163, (0.073, 0.163)"
PA-Delaware,"6.198, (6.123, 9.44)","0.04, (0.04, 0.049)","0.045, (0.04, 0.05)","0.131, (0.067, 0.133)"
PA-Lehigh,"8.788, (8.619, 15.318)","0.04, (0.04, 0.044)","0.04, (0.04, 0.049)","0.011, (0.01, 0.013)"
PA-Luzerne,"15.868, (11.601, 24.359)","0.04, (0.04, 0.045)","0.04, (0.04, 0.046)","0.029, (0.022, 0.069)"
PA-Montgomery,"6.753, (5.968, 11.02)","0.04, (0.04, 0.048)","0.041, (0.04, 0.05)","0.138, (0.056, 0.147)"
PA-Northampton,"7.305, (6.539, 13.546)","0.04, (0.04, 0.063)","0.04, (0.04, 0.056)","0.097, (0.021, 0.105)"
PA-Philadelphia,"7.555, (6.708, 11.98)","0.04, (0.04, 0.074)","0.04, (0.04, 0.074)","0.077, (0.013, 0.092)"
RI-Providence,"6.059, (5.975, 6.536)","0.04, (0.04, 0.043)","0.04, (0.04, 0.044)","0.04, (0.017, 0.074)"
SC-Charleston,"16.254, (6.958, 62.445)","0.052, (0.04, 0.191)","0.077, (0.04, 0.2)","0.01, (0.01, 0.021)"
SC-Greenville,"20.271, (6.178, 61.835)","0.04, (0.04, 0.142)","0.041, (0.04, 0.2)","0.022, (0.01, 0.052)"
