county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PA-Philadelphia,7224,1939,1804,1974,2202,2267,1790,1425,1891,2008,2008,2371,2455,1729,1798,1757,1930,1981,2067,2260,1802,1603,1826,2016,2050,2499,2358,1962,1760,1644,1851
PA-Philadelphia,7225,22195,20777,22523,24472,22691,18043,15757,20276,22021,21605,24620,23354,17220,20062,19047,20876,21353,22237,22390,17305,17192,19628,21964,21353,24982,22481,18637,19818,18529,20750
PA-Philadelphia,7139,4995,4368,4866,4905,4699,4045,3733,4676,4972,4714,5099,5022,3936,4501,4643,4895,4873,4501,4594,3918,3772,4447,4637,4613,4967,4434,3901,4158,4307,4735
PA-Philadelphia,7131,226,191,178,222,191,157,165,173,194,148,247,222,170,182,194,178,182,228,248,167,145,173,196,180,235,253,238,196,159,210
PA-Philadelphia,8131,2052,1954,2168,2275,2229,2145,1670,1889,2080,2040,2143,2129,1866,1789,1716,1863,1866,1862,1898,1879,1654,1840,1946,1958,2118,2043,2177,1831,1681,1803
PA-Philadelphia,8121,1023,910,1127,1147,1062,894,817,963,998,1008,1078,1025,930,945,808,933,900,950,1024,891,754,877,960,929,1121,1048,845,941,845,865
MD-Prince George's,7211,820,814,856,1037,1391,1118,858,701,812,750,898,1184,915,746,740,827,768,910,1225,889,718,804,843,795,1117,1287,950,730,721,770
MD-Prince George's,7224,333,390,404,511,824,650,473,355,395,311,512,727,479,318,301,361,346,468,702,457,244,357,387,370,536,722,497,326,316,366
MD-Prince George's,7225,8971,9370,9572,12035,12484,9167,8594,8286,8782,8412,11064,11568,8255,8204,8183,9126,8624,9970,11000,7695,7168,8110,9606,9196,11317,10809,8010,8273,7920,9306
MD-Prince George's,7139,1508,1419,1488,1606,1558,1237,1235,1428,1523,1424,1606,1649,1148,1412,1372,1610,1402,1363,1397,1090,1220,1490,1562,1563,1562,1402,1270,1482,1342,1448
MD-Prince George's,7131,54,61,61,65,85,57,70,59,53,55,44,60,33,52,46,64,37,58,72,43,46,40,65,61,59,52,42,54,54,50
MD-Prince George's,8131,582,613,589,707,648,722,493,596,640,562,678,695,710,525,563,733,589,579,669,694,524,620,621,606,642,663,758,513,531,541
MD-Prince George's,8121,397,412,414,443,429,329,300,365,411,404,432,464,317,340,373,416,378,359,374,280,327,331,403,397,419,355,331,371,374,391
NV-Clark,7211,11127,11390,13868,21370,29440,27676,18416,12736,12210,14087,19592,23997,19442,13511,11897,12700,13489,19038,24454,19486,13266,12443,12727,15281,21208,26098,20682,13740,11373,11760
NV-Clark,7224,4202,4306,5188,8061,10378,9701,6553,4989,4919,5476,7619,8928,7222,5024,4606,5033,5336,7674,9813,7400,4852,4619,4739,5808,8461,9549,7694,5125,4353,4779
NV-Clark,7225,37139,37006,39763,48361,51851,44151,37373,36221,37709,38861,46970,49376,38607,34888,35391,37704,37564,44494,47717,37381,31246,35779,36930,38782,48001,50001,40888,35952,36231,37429
