county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
WI-Milwaukee,7225,21177,14567,18217,17597,18344,18791,21390,21184,12132,17987,17742,18491,17198,20918,18468,14115,15430,15899,17772,19114,20611,20492,15499,17568,14118,20247,20363,22145,20437
WI-Milwaukee,7139,5765,3701,3795,3561,3777,3798,4055,4989,2876,3696,3623,3722,3556,4196,4731,3185,3495,3534,3578,3796,3869,4752,3500,3865,3194,4204,4353,4141,4599
WI-Milwaukee,7131,400,328,146,133,120,187,164,381,214,358,144,138,128,187,326,223,130,155,127,137,151,359,183,126,84,147,135,289,344
WI-Milwaukee,8131,1876,2620,1968,2109,2038,1910,2093,1907,2455,1908,2086,2207,1854,1993,1712,2559,1555,1746,2008,1872,2002,1831,2710,1917,1748,2620,2290,2041,1737
WI-Milwaukee,8121,757,606,747,802,792,801,853,881,517,736,758,818,714,805,698,494,623,690,669,792,856,733,577,745,647,835,927,850,767
UT-Salt Lake,7211,2637,2188,2195,2335,2393,2349,2917,2909,2224,2360,2505,2709,2794,3682,4065,2913,2389,2524,2794,3003,3442,3484,2611,2900,2967,3336,3481,3385,2919
UT-Salt Lake,7224,1263,722,585,942,981,964,1418,1522,879,962,1025,1121,1163,1487,1414,890,857,892,1026,1181,1614,1606,731,762,746,984,933,1235,1111
UT-Salt Lake,7225,29417,14883,16250,23909,25439,26063,31693,31944,18693,26111,26473,27781,28065,33910,29594,18612,23804,25253,26045,27542,32233,30416,16239,24863,20168,26165,25484,28929,26720
UT-Salt Lake,7139,8291,4786,4961,6811,7300,6363,7793,7924,6023,7835,7361,8081,7487,8179,8317,6089,8321,8043,8279,8376,9000,8959,5584,8290,6718,8787,8718,8427,7677
UT-Salt Lake,7131,434,100,130,219,191,191,310,481,151,245,233,230,205,331,479,115,267,213,239,241,357,453,139,241,208,263,295,357,470
UT-Salt Lake,8131,4517,7417,2822,2956,3770,4884,4258,5208,7350,3759,3931,4684,3468,4741,2866,7883,2808,4298,3596,2994,2837,2485,6037,2992,2167,3387,2991,2568,2372
UT-Salt Lake,8121,964,622,657,960,999,1018,1067,991,577,914,1025,1166,1139,1231,1402,753,744,1014,970,1137,1215,1015,650,947,800,1245,1194,1081,883
MN-Hennepin,7211,6286,3347,3571,3648,3697,3459,4880,6259,2960,3681,3807,3992,4324,7290,8208,4568,3531,3389,3865,4093,5430,5615,3059,3634,4112,4603,4480,5066,5493
MN-Hennepin,7224,4471,2666,2218,2543,3755,3043,4892,4602,3156,3410,3764,2919,4316,5181,5424,3968,3997,4053,4521,4145,4997,5302,2205,2186,2580,3213,2720,2952,3139
MN-Hennepin,7225,36666,22381,27764,27153,28100,28485,34876,38147,21320,27888,28082,28869,27910,37856,36648,26715,27236,26079,27856,30882,34524,35542,24589,27653,24993,33435,32450,34311,34109
MN-Hennepin,7139,9702,6159,8921,9032,9142,8919,9755,10281,6872,9186,9084,9272,8509,9494,9417,7656,8667,8364,8649,9970,9922,9774,7230,8931,7385,10125,9964,9374,9538
MN-Hennepin,7131,719,496,314,280,331,363,515,888,470,412,395,418,404,667,946,750,593,369,406,413,601,1016,591,381,315,397,433,497,916
MN-Hennepin,8131,1837,3372,1741,1877,2325,1900,1990,2230,2825,1736,1832,2221,1797,2246,2339,3701,1215,1665,2207,1861,2000,1906,3518,1868,1648,3323,2016,1981,1734
MN-Hennepin,8121,898,551,969,968,913,964,980,972,528,902,928,939,899,1072,875,693,888,873,866,1011,982,926,589,993,854,1171,1119,983,935
